fit_unit_id,lake_id,phase,branch_label,point_count,linear_r2,linear_rmse,linear_aicc,linear_coefficients,quadratic_r2,quadratic_rmse,quadratic_aicc,quadratic_coefficients,selected_model,selected_r2,selected_rmse,selected_aicc,selected_coefficients,selection_rule,aicc_parameterization
lake_101_original_b01,101,original,B1,22,0.9522474221200816,0.2401175832050739,-55.43823467287008,17.0484807492;493.601730334,0.9522479455646516,0.2401162671652376,-52.4188679862142,-0.262530179874;17.1288426919;493.596621261,linear,0.9522474221200816,0.2401175832050739,-55.43823467287008,17.0484807492;493.601730334,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_105_original_b01,105,original,B1,12,0.9233171886403502,0.3580052863992872,-15.652980629088097,17.0636365993;749.345332693,0.968794465257547,0.2283790388225241,-21.727680191163444,-66.9199890623;41.5628469674;747.457751152,quadratic,0.968794465257547,0.2283790388225241,-21.727680191163444,-66.9199890623;41.5628469674;747.457751152,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_108_original_b01,108,original,B1,19,0.9631921785625552,0.2098396868062511,-51.73363456650308,14.5748350205;464.765177357,0.9680853176664326,0.1953947252791155,-51.18673144303531,-26.7536732083;22.2958439471;464.356201268,linear,0.9631921785625552,0.2098396868062511,-51.73363456650308,14.5748350205;464.765177357,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_112_original_b01,112,original,B1,19,0.8228230057835033,0.3664633875667033,-30.5465530854827,9.26855181687;736.296155407,0.8229858862974153,0.3662949021778152,-27.306885144639484,-1.63856411325;9.8243637808;736.263860879,linear,0.8228230057835033,0.3664633875667033,-30.5465530854827,9.26855181687;736.296155407,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_113_original_b01,113,original,B1,14,0.8236118899144254,0.2744953790011636,-27.79898386759453,7.58106497083;490.057918825,0.8617394374236543,0.2430242122414109,-27.16419320460222,-18.5895538252;14.1124217412;489.613056201,linear,0.8236118899144254,0.2744953790011636,-27.79898386759453,7.58106497083;490.057918825,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_114_original_b01,114,original,B1,12,0.9419106783938752,0.1342473171648101,-39.19371671202306,7.60706155756;684.894582408,0.941968685744794,0.134180271483451,-34.49142005142728,-1.11234241524;7.91039155822;684.879597721,linear,0.9419106783938752,0.1342473171648101,-39.19371671202306,7.60706155756;684.894582408,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_116_original_b01,116,original,B1,18,0.9387285225654612,0.2239484397047594,-46.15393389214702,14.3692791471;1002.79901014,0.9504303217096416,0.2014312810999652,-46.606128652586825,-37.8034355665;23.6538603876;1002.37276845,quadratic,0.9504303217096416,0.2014312810999652,-46.606128652586825,-37.8034355665;23.6538603876;1002.37276845,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_119_original_b01,119,original,B1,10,0.9927806832448932,0.0686036771394289,-43.588182861425686,18.8966273516;987.90054659,0.9936632429017024,0.0642736370066914,-38.89211463414869,-26.4899198988;26.5245048683;987.399781796,linear,0.9927806832448932,0.0686036771394289,-43.588182861425686,18.8966273516;987.90054659,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_126_original_b01,126,original,B1,12,0.973978862219792,0.0941192295107544,-47.71662963360146,9.78066633165;641.810837261,0.9739917605396544,0.0940958998160023,-43.008293628873325,-0.785932040467;9.96662559328;641.802603575,linear,0.973978862219792,0.0941192295107544,-47.71662963360146,9.78066633165;641.810837261,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_127_original_b01,127,original,B1,16,0.924031281449375,0.1953950488276204,-44.24742010705125,12.7582729974;996.800559821,0.924226155079721,0.1951442759210423,-40.65215212280191,4.43904569705;11.5738329157;996.866891857,linear,0.924031281449375,0.1953950488276204,-44.24742010705125,12.7582729974;996.800559821,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_132_original_b01,132,original,B1,17,0.956732722016156,0.1587204777514406,-54.7346074182413,15.270075099;642.256347313,0.9811732342949264,0.1046986384820753,-65.39341828284918,-60.9015912904;29.6838534642;641.579800548,quadratic,0.9811732342949264,0.1046986384820753,-65.39341828284918,-60.9015912904;29.6838534642;641.579800548,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_139_original_b01,139,original,B1,12,0.993347666725403,0.057237365118818,-59.65316058046562,14.943484099;791.79961809,0.9933973293616766,0.0570233136375351,-55.02879629175511,-3.19256094032;15.8306823967;791.745047147,linear,0.993347666725403,0.057237365118818,-59.65316058046562,14.943484099;791.79961809,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_141_original_b01,141,original,B1,17,0.7590511965774224,0.3112004520321704,-31.84265931438245,17.4523566266;924.94643712,0.8383151547660218,0.2549250363139273,-35.13738224426836,243.255301455;-39.8610003606;928.07863939,quadratic,0.8383151547660218,0.2549250363139273,-35.13738224426836,243.255301455;-39.8610003606;928.07863939,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_144_original_b01,144,original,B1,17,0.7873554059198681,0.5746096439111222,-10.992034015862563,30.3040131521;637.49020296,0.85619294350359,0.4725370176476032,-14.15439915690479,-330.885579917;92.0697397191;635.048395295,quadratic,0.85619294350359,0.4725370176476032,-14.15439915690479,-330.885579917;92.0697397191;635.048395295,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_145_original_b01,145,original,B1,14,0.8016286716336523,0.2090221429672594,-35.428822391691895,5.30749391724;547.396719435,0.8377461398719553,0.1890385441881486,-34.19807727747723,-10.7365721009;9.23936275474;547.114523501,linear,0.8016286716336523,0.2090221429672594,-35.428822391691895,5.30749391724;547.396719435,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_148_original_b01,148,original,B1,30,0.9006095052075659,0.1978790351128115,-90.2828852023648,15.3765283647;908.21028378,0.9116815588267332,0.1865318747936309,-91.14918864481054,-84.4909411471;31.5883612499;907.579400368,quadratic,0.9116815588267332,0.1865318747936309,-91.14918864481054,-84.4909411471;31.5883612499;907.579400368,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_149_original_b01,149,original,B1,20,0.9485199037237112,0.1674208314793463,-63.9897874933894,15.4683658946;740.61748597,0.9519751855699162,0.1617047089224168,-62.21266899222696,21.9007537439;10.8048168518;740.817811638,linear,0.9485199037237112,0.1674208314793463,-63.9897874933894,15.4683658946;740.61748597,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_151_original_b01,151,original,B1,13,0.8703996150013494,0.230571296628187,-29.480407271092144,12.7094069494;386.607124419,0.9679728397829216,0.1146202396605424,-43.31940285261962,-84.7108877631;33.5842444565;385.512162204,quadratic,0.9679728397829216,0.1146202396605424,-43.31940285261962,-84.7108877631;33.5842444565;385.512162204,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_153_original_b01,153,original,B1,13,0.8564720326396058,0.1958500615561968,-33.7238868520904,9.95149040425;757.354714855,0.911609682248514,0.1536943111287319,-35.692530690648134,-44.3781314906;20.4121114909;756.866396667,quadratic,0.911609682248514,0.1536943111287319,-35.692530690648134,-44.3781314906;20.4121114909;756.866396667,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
