fit_unit_id,lake_id,phase,branch_label,selected_model,selected_r2,volume_formula,n_dates,first_date,last_date,reference_date,reference_wse_m,reference_area_km2,min_volume_1e6_m3,max_volume_1e6_m3,range_volume_1e6_m3,max_fill_rate_1e6_m3_day,max_drain_rate_1e6_m3_day,source_kind
lake_166_original_b01,166,original,B1,linear,0.9254408467700856,reference_wse_integral_A(h)_dh,21,2024-07-01,2024-07-22,2024-07-13,590.4779357910156,0.0852,-0.0892910890332002,0.1460446755543032,0.2353357645875035,0.0561656940167823,-0.0521529253952376,ordinary_densified_area_wse
lake_175_original_b01,175,original,B1,linear,0.8495086761728274,reference_wse_integral_A(h)_dh,24,2024-07-14,2024-08-14,2024-08-01,1078.7834530050004,0.14545,-0.0145720802691597,0.0998830873092252,0.1144551675783849,0.0490159433108693,-0.0690516166610184,ordinary_densified_area_wse
lake_194_original_b01,194,original,B1,quadratic,0.8664205469089623,reference_wse_integral_A(h)_dh,41,2024-06-28,2024-08-14,2024-07-24,920.175048828125,0.0701632341024378,-0.0141301795624991,0.103890472120632,0.1180206516831312,0.0714110775767523,-0.0219591249769166,ordinary_densified_area_wse
lake_1_branch_1_premerge,1,premerge,B1,linear,0.9067686919643628,reference_wse_integral_A(h)_dh,15,2024-06-26,2024-07-11,2024-07-08,684.1067504882812,0.3042,0.0,0.9441305638850198,0.9441305638850198,0.3115315224964364,-0.4394376882981713,lake1_2_full_area_wse_timeseries
lake_1_branch_2_premerge,1,premerge,B2,quadratic,0.9900613934491462,reference_wse_integral_A(h)_dh,16,2024-06-26,2024-07-11,2024-07-03,676.3639362950615,0.2058,0.0,6.392955062207196,6.392955062207196,1.1877260352691672,-0.0122960173412101,lake1_2_full_area_wse_timeseries
lake_1_merged_postmerge,1,postmerge,B1,linear,0.963347733133228,reference_wse_integral_A(h)_dh,27,2024-07-12,2024-08-14,2024-08-08,689.5635833740234,3.118409543498343,0.0,15.732453904841435,15.732453904841435,1.9645619663028333,-4.175353674870622,lake1_2_full_area_wse_timeseries
lake_202_original_b01,202,original,B1,linear,0.9220681066289568,reference_wse_integral_A(h)_dh,18,2024-07-06,2024-08-04,2024-07-16,681.8724594116211,0.0821,-0.0594933124911128,0.0485428257512541,0.1080361382423669,0.0285438653213882,-0.0361656315497199,ordinary_densified_area_wse
lake_217_original_b01,217,original,B1,linear,0.8996302333102676,reference_wse_integral_A(h)_dh,17,2024-07-09,2024-08-05,2024-07-18,571.3515773866235,0.1066,-0.0938874701084935,0.0651102458694764,0.15899771597797,0.0651102458694764,-0.0202777888455883,ordinary_densified_area_wse
lake_221_original_b01,221,original,B1,linear,0.9020914865853576,reference_wse_integral_A(h)_dh,21,2024-06-29,2024-07-20,2024-07-09,644.8704833984375,0.07035,-0.0463462716487818,0.0778109736274976,0.1241572452762794,0.0227602267367544,-0.0171014124382107,ordinary_densified_area_wse
lake_231_original_b01,231,original,B1,linear,0.936278727444902,reference_wse_integral_A(h)_dh,17,2024-07-14,2024-08-06,2024-07-26,562.0154362874526,0.0579,-0.0965357829907775,0.0,0.0965357829907775,0.0091068133416393,-0.0322292144913464,ordinary_densified_area_wse
lake_2_branch_1_premerge,2,premerge,B1,quadratic,0.9816002358085892,reference_wse_integral_A(h)_dh,28,2024-06-26,2024-07-29,2024-06-30,733.6904028467385,0.3580226787315366,0.0,1.574730449760574,1.574730449760574,0.3352623004648467,-0.324003906623811,lake1_2_full_area_wse_timeseries
lake_2_branch_2_premerge,2,premerge,B2,quadratic,0.9978575012333676,reference_wse_integral_A(h)_dh,25,2024-06-27,2024-07-29,2024-07-14,730.9103042628005,1.49435,0.0,14.646472348921977,14.646472348921977,1.5540713516183458,-0.0649777860016562,lake1_2_full_area_wse_timeseries
lake_2_merged_postmerge,2,postmerge,B1,linear,0.9227935460889152,reference_wse_integral_A(h)_dh,12,2024-07-31,2024-08-14,2024-08-05,735.5905972252247,2.7071,-0.0242945215114951,1.774445585782854,1.7987401072943492,0.8457519286863899,-0.7340935412961449,lake1_2_full_area_wse_timeseries
lake_38_original,38,original,B1,quadratic,0.9926714205079132,reference_wse_integral_A(h)_dh,25,2024-06-23,2024-07-27,2024-06-28,785.318359375,0.2987,-0.0511694506431474,1.7595141792098097,1.810683629852957,0.2152057036380796,-0.644750402427672,ordinary_densified_area_wse
